id;start_date;end_date;language
1;2019-05-17T21:44:41;2019-05-18T00:19:46;FRENCH
2;2019-05-17T19:05:01;2019-05-17T19:55:17;FRENCH
3;2019-05-18T02:32:10;2019-05-17T19:45:13;FRENCH
4;2019-05-17T21:41:15;2019-05-17T20:58:24;FRENCH
5;2019-05-18T00:29:57;2019-05-18T01:12:19;FRENCH
6;2019-05-17T14:27:15;2019-05-17T13:40:48;FRENCH
7;2019-05-18T03:19:00;2019-05-18T00:26:45;FRENCH
8;2019-05-17T09:44:22;2019-05-17T08:56:56;FRENCH
9;2019-05-17T14:08:34;2019-05-17T10:24:44;FRENCH
10;2019-05-17T14:44:38;2019-05-17T08:16:56;FRENCH
